Restaurant ID,Restaurant Name,Country Code,City,Longitude,Latitude,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes,Cuisine1,Cuisine2,Cuisine3,Cuisine4,Cuisine5,Cuisine6,Cuisine7,Cuisine8
6314605,Sodam Korean Restaurant,162,San Juan City,121.03811,14.59889,700,Botswana Pula(P),No,No,No,No,3,4.3,Green,Very Good,223,Korean,,,,,,,
18185059,Cafe Arabelle,162,Santa Rosa,121.05704,14.237082,800,Botswana Pula(P),No,No,No,No,3,3.6,Yellow,Good,29,Cafe, American, Italian, Filipino,,,,
18182702,Nonna's Pasta & Pizzeria,162,Santa Rosa,121.0565874,14.23767897,850,Botswana Pula(P),No,No,No,No,3,4,Green,Very Good,72,Italian, Pizza,,,,,,
6318213,Balay Dako,162,Tagaytay City,120.951589,14.101834,1200,Botswana Pula(P),Yes,No,No,No,3,4.5,Dark Green,Excellent,211,Filipino,,,,,,,
18255654,Hobing Korean Dessert Cafe,162,Taguig City,121.045878,14.55436,600,Botswana Pula(P),No,No,No,No,2,4.5,Dark Green,Excellent,118,Cafe, Korean, Desserts,,,,,
6308205,Wildflour Cafe + Bakery,162,Taguig City,121.04622,14.549337,1500,Botswana Pula(P),Yes,No,No,No,4,4.4,Green,Very Good,392,Cafe, Bakery, American, Italian,,,,
6315438,NIU by Vikings,162,Taguig City,121.053725,14.545858,3000,Botswana Pula(P),Yes,No,No,No,4,4.7,Dark Green,Excellent,535,Seafood, American, Mediterranean, Japanese,,,,
6310406,The Food Hall by Todd English,162,Taguig City,121.0534998,14.54565535,1800,Botswana Pula(P),Yes,No,No,No,4,4.5,Dark Green,Excellent,618,American, Asian, Italian, Seafood,,,,
6600681,Chez Michou,30,Bras_lia,-47.88178889,-15.76414167,55,Brazilian Real(R$),No,No,No,No,2,3,Orange,Average,6,Fast Food, French,,,,,,
6601005,Caf Daniel Briand,30,Bras_lia,-47.88266667,-15.7775,30,Brazilian Real(R$),No,No,No,No,1,3.8,Yellow,Good,9,Cafe,,,,,,,
6600292,Casa do Biscoito Mineiro,30,Bras_lia,-47.88213611,-15.75747222,45,Brazilian Real(R$),No,No,No,No,2,3.7,Yellow,Good,11,Bakery,,,,,,,
6600441,Maori,30,Bras_lia,-47.88816667,-15.75883333,60,Brazilian Real(R$),No,No,No,No,3,3.8,Yellow,Good,11,Brazilian,,,,,,,
6600970,Pizza  Bessa,30,Bras_lia,-47.91566667,-15.83116667,50,Brazilian Real(R$),No,No,No,No,2,3.2,Orange,Average,11,Pizza,,,,,,,
6600379,Sushi Loko,30,Bras_lia,-47.91566667,-15.831,80,Brazilian Real(R$),No,No,No,No,3,3.1,Orange,Average,10,Japanese,,,,,,,
6600214,Beirute,30,Bras_lia,-47.9075,-15.82,90,Brazilian Real(R$),No,No,No,No,3,3.7,Yellow,Good,8,Arabian,,,,,,,
6601218,New Koto,30,Bras_lia,-47.91016667,-15.82733333,200,Brazilian Real(R$),No,No,No,No,4,3.7,Yellow,Good,5,Japanese,,,,,,,
6600060,Sandubas Caf,30,Bras_lia,-47.89016667,-15.797,30,Brazilian Real(R$),No,No,No,No,1,0,White,Not rated,2,Brazilian, Cafe,,,,,,
6600083,Villa Tevere,30,Bras_lia,-47.92366667,-15.83133333,150,Brazilian Real(R$),No,No,No,No,4,4.1,Green,Very Good,12,Italian,,,,,,,
6601515,Rovereto,30,Bras_lia,-48.019,-15.83716667,100,Brazilian Real(R$),No,No,No,No,4,3.1,Orange,Average,9,Pizza,,,,,,,
6601361,Buena Carne,30,Bras_lia,-48.01909167,-15.839775,60,Brazilian Real(R$),No,No,No,No,3,3.6,Yellow,Good,9,Bar Food, Brazilian,,,,,,
6601602,Taco Pep,30,Bras_lia,-48.01666667,-15.83483333,100,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,29,Mexican, Grill,,,,,,
6601589,Coco Bambu,30,Bras_lia,-47.889,-15.7865,230,Brazilian Real(R$),No,No,No,No,4,4.2,Green,Very Good,17,International,,,,,,,
6601862,Tayp,30,Bras_lia,-47.872359,-15.860621,100,Brazilian Real(R$),No,No,No,No,4,3.6,Yellow,Good,5,Peruvian, Latin American,,,,,,
6601595,Outback Steakhouse,30,Bras_lia,-47.95628333,-15.83451389,150,Brazilian Real(R$),No,No,No,No,4,4,Green,Very Good,10,American, Grill,,,,,,
6601158,Manzu,30,Bras_lia,-47.87283333,-15.82566667,240,Brazilian Real(R$),No,No,No,No,4,3.2,Orange,Average,6,Seafood,,,,,,,
6600427,Coco Bambu,30,Bras_lia,-47.8685,-15.819,230,Brazilian Real(R$),No,No,No,No,4,4.9,Dark Green,Excellent,30,International,,,,,,,
6600116,Gero,30,Bras_lia,-47.885812,-15.720118,350,Brazilian Real(R$),No,No,No,No,4,3.3,Orange,Average,8,Italian,,,,,,,
6601457,Brazilian American Burgers,30,Bras_lia,-47.92102778,-15.79753056,50,Brazilian Real(R$),No,No,No,No,2,3.6,Yellow,Good,9,American, Burger,,,,,,
7303219,Pesqueiro Eco Gourmet,30,Rio de Janeiro,-43.377,-23.0115,140,Brazilian Real(R$),No,No,No,No,4,4,Green,Very Good,7,Seafood, Bar Food, Brazilian,,,,,
7304307,Confeitaria Colombo,30,Rio de Janeiro,-43.178826,-22.905293,100,Brazilian Real(R$),No,No,No,No,4,4.8,Dark Green,Excellent,29,Desserts, Cafe,,,,,,
7301215,Bibi,30,Rio de Janeiro,-43.18669167,-22.97207222,60,Brazilian Real(R$),No,No,No,No,3,4.7,Dark Green,Excellent,24,Juices, Healthy Food,,,,,,
7300596,Cervantes,30,Rio de Janeiro,-43.17583333,-22.96216667,90,Brazilian Real(R$),No,No,No,No,3,4.5,Dark Green,Excellent,29,Beverages, Bar Food, Fast Food,,,,,
7300612,Amir,30,Rio de Janeiro,-43.176,-22.96516667,170,Brazilian Real(R$),No,No,No,No,4,4.2,Green,Very Good,11,Lebanese,,,,,,,
7300704,TT Burger,30,Rio de Janeiro,-43.191,-22.98683333,60,Brazilian Real(R$),No,No,No,No,3,4.8,Dark Green,Excellent,19,Burger,,,,,,,
7300955,Braseiro da Gvea,30,Rio de Janeiro,-43.227042,-22.973507,100,Brazilian Real(R$),No,No,No,No,4,4.9,Dark Green,Excellent,40,Brazilian, Bar Food,,,,,,
7300521,Balada Mix,30,Rio de Janeiro,-43.211425,-22.98520833,90,Brazilian Real(R$),No,No,No,No,3,4.6,Dark Green,Excellent,21,Brazilian, Healthy Food, Juices, Pizza,,,,
7300515,Garota de Ipanema,30,Rio de Janeiro,-43.203,-22.98533333,120,Brazilian Real(R$),No,No,No,No,4,4.9,Dark Green,Excellent,49,Brazilian, Bar Food,,,,,,
7300483,Zaz Bistr Tropical,30,Rio de Janeiro,-43.20520833,-22.98531944,170,Brazilian Real(R$),No,No,No,No,4,4.6,Dark Green,Excellent,21,Brazilian,,,,,,,
7301064,Fil de Ouro,30,Rio de Janeiro,-43.219563,-22.966647,90,Brazilian Real(R$),No,No,No,No,3,4.3,Green,Very Good,14,Brazilian,,,,,,,
7304312,D.O.C Ristorante,30,Rio de Janeiro,-43.34879167,-22.99991111,150,Brazilian Real(R$),No,No,No,No,4,4,Green,Very Good,5,Italian,,,,,,,
7300004,Sushi Leblon,30,Rio de Janeiro,-43.227,-22.98416667,250,Brazilian Real(R$),No,No,No,No,4,4.6,Dark Green,Excellent,25,Japanese,,,,,,,
7300868,Talho Capixaba,30,Rio de Janeiro,-43.22566667,-22.98516667,120,Brazilian Real(R$),No,No,No,No,4,4.4,Green,Very Good,13,Bakery, Sandwich, Brazilian,,,,,
7302637,Leme Light,30,Rio de Janeiro,-43.17279167,-22.963925,40,Brazilian Real(R$),No,No,No,No,2,4.2,Green,Very Good,7,Brazilian,,,,,,,
7302140,Shirley,30,Rio de Janeiro,-43.17126389,-22.96337222,250,Brazilian Real(R$),No,No,No,No,4,4.2,Green,Very Good,8,Brazilian, Seafood,,,,,,
7305048,Quiosque Chopp Brahma,30,Rio de Janeiro,-43.341164,-22.870413,70,Brazilian Real(R$),No,No,No,No,3,0,White,Not rated,1,Bar Food, Brazilian,,,,,,
7302898,Apraz_vel,30,Rio de Janeiro,-43.18736944,-22.92481389,300,Brazilian Real(R$),No,No,No,No,4,4.7,Dark Green,Excellent,44,Brazilian,,,,,,,
7302859,Aconchego Carioca,30,Rio de Janeiro,-43.21551111,-22.91370833,85,Brazilian Real(R$),No,No,No,No,3,4.6,Dark Green,Excellent,24,Brazilian, Bar Food,,,,,,
7301700,Garota de Ipanema,30,Rio de Janeiro,-43.16266667,-22.94783333,80,Brazilian Real(R$),No,No,No,No,3,4.3,Green,Very Good,10,Brazilian, Bar Food,,,,,,
6706313,Cantina Famiglia Mancini,30,So Paulo,-46.64516667,-23.55066667,250,Brazilian Real(R$),No,No,No,No,4,4.5,Dark Green,Excellent,49,Italian, Pizza,,,,,,
6704326,Templo da Carne - Marcos Bassi,30,So Paulo,-46.64633333,-23.559,250,Brazilian Real(R$),No,No,No,No,4,4.4,Green,Very Good,17,Steak, BBQ,,,,,,
6711179,Gopala Hari,30,So Paulo,-46.65866667,-23.55616667,70,Brazilian Real(R$),No,No,No,No,3,3.1,Orange,Average,5,Indian,,,,,,,
6702797,Jiquitaia,30,So Paulo,-46.657523,-23.55671,100,Brazilian Real(R$),No,No,No,No,4,4.1,Green,Very Good,15,Brazilian,,,,,,,
6700475,Skye - Hotel Unique,30,So Paulo,-46.666851,-23.581688,300,Brazilian Real(R$),No,No,No,No,4,4.8,Dark Green,Excellent,59,Beverages, International,,,,,,
6713413,Les 3 Brasseurs,30,So Paulo,-46.67511,-23.582135,120,Brazilian Real(R$),No,No,No,No,4,4.6,Dark Green,Excellent,30,French, Brazilian, Beverages,,,,,
6714340,Red Steak & Burger,30,So Paulo,-46.683888,-23.585324,75,Brazilian Real(R$),No,No,No,No,3,3.9,Yellow,Good,5,Brazilian, Grill,,,,,,
6710645,Cantinho da Gula,30,So Paulo,-46.67566667,-23.581,55,Brazilian Real(R$),No,No,No,No,2,0,White,Not rated,0,Brazilian,,,,,,,
6700402,Paris 6 Classique,30,So Paulo,-46.666041,-23.561568,200,Brazilian Real(R$),No,No,No,No,4,3.4,Orange,Average,73,French,,,,,,,
6700846,Kawa Sushi,30,So Paulo,-46.657418,-23.571638,120,Brazilian Real(R$),No,No,No,No,4,3.5,Yellow,Good,9,Sushi, Japanese,,,,,,
6702159,A Figueira Rubaiyat,30,So Paulo,-46.66983333,-23.5655,300,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,39,BBQ, Grill, Brazilian,,,,,
6711666,Kinoshita,30,So Paulo,-46.67133333,-23.59233333,230,Brazilian Real(R$),No,No,No,No,4,3.9,Yellow,Good,12,Sushi,,,,,,,
6701257,Meats,30,So Paulo,-46.68133333,-23.56483333,120,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,68,Gourmet Fast Food, Burger,,,,,,
6706211,Paribar,30,So Paulo,-46.64159444,-23.54664167,150,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,46,Brazilian, Italian,,,,,,
6705858,Terra_o Itlia,30,So Paulo,-46.643425,-23.545163,400,Brazilian Real(R$),No,No,No,No,4,4.4,Green,Very Good,37,Italian,,,,,,,
6701419,Divino Fogo,30,So Paulo,-46.63716667,-23.5995,65,Brazilian Real(R$),No,No,No,No,3,0,White,Not rated,2,Brazilian, Mineira,,,,,,
6703956,Super Grill,30,So Paulo,-46.698574,-23.622925,50,Brazilian Real(R$),No,No,No,No,2,0,White,Not rated,2,Brazilian,,,,,,,
6709580,Esquina Mocot_,30,So Paulo,-46.581672,-23.486535,100,Brazilian Real(R$),No,No,No,No,4,4.4,Green,Very Good,22,Brazilian, North Eastern,,,,,,
6703176,Veloso,30,So Paulo,-46.63566667,-23.58516667,70,Brazilian Real(R$),No,No,No,No,3,4.6,Dark Green,Excellent,58,Brazilian, Bar Food, Beverages,,,,,
6713772,Sainte Marie Gastronomia,30,So Paulo,-46.746958,-23.609207,120,Brazilian Real(R$),No,No,No,No,4,4.1,Green,Very Good,11,Lebanese, Arabian,,,,,,
17284404,Austin's BBQ and Oyster Bar,216,Albany,-84.221535,31.610387,25,Dollar($),No,No,No,No,2,3.3,Orange,Average,35,BBQ, Burger, Seafood,,,,,
17284203,BJ's Country Buffet,216,Albany,-84.207095,31.608743,10,Dollar($),No,No,No,No,1,3.3,Orange,Average,25,American, BBQ,,,,,,
17284105,Cookie Shoppe,216,Albany,-84.154,31.5772,0,Dollar($),No,No,No,No,1,3.4,Orange,Average,34,,,,,,,,
17284302,El Vaquero Mexican Restaurant,216,Albany,-84.2194,31.6158,0,Dollar($),No,No,No,No,1,3.4,Orange,Average,45,Mexican,,,,,,,
17284397,Elements Coffee Co - Northwest,216,Albany,-84.206944,31.622412,10,Dollar($),No,No,No,No,1,3.4,Orange,Average,26,Coffee and Tea, Sandwich,,,,,,
17284211,Pearly's Famous Country Cookng,216,Albany,-84.1759,31.5882,0,Dollar($),No,No,No,No,1,3.4,Orange,Average,36,,,,,,,,
17284094,Chick-fil-A,216,Albany,-84.2193,31.616,10,Dollar($),No,No,No,No,1,3.5,Yellow,Good,67,Fast Food,,,,,,,
17284409,Guang Zhou Chinese Restaurant,216,Albany,-84.2091458,31.6155186,10,Dollar($),No,No,No,No,1,3.9,Yellow,Good,141,Asian, Chinese, Vegetarian,,,,,
17284139,Harvest Moon,216,Albany,-84.205718,31.604905,25,Dollar($),No,No,No,No,2,3.7,Yellow,Good,147,Pizza, Bar Food, Sandwich,,,,,
17284403,Henry Campbell's Steakhouse,216,Albany,-84.223278,31.612121,70,Dollar($),No,No,No,No,4,3.5,Yellow,Good,51,Steak, Tapas, Bar Food,,,,,
17284145,Hong Kong Cafe,216,Albany,-84.2191,31.6156,25,Dollar($),No,No,No,No,2,3.6,Yellow,Good,88,Chinese, Seafood, Vegetarian,,,,,
17284150,House of China Restaurant II,216,Albany,-84.212,31.6104,10,Dollar($),No,No,No,No,1,3.8,Yellow,Good,153,Chinese,,,,,,,
17284158,Jimmie's Hot Dogs,216,Albany,-84.1534,31.5751,10,Dollar($),No,No,No,No,1,3.9,Yellow,Good,160,,,,,,,,
17284175,Locos Grill & Pub,216,Albany,-84.2228,31.6077,25,Dollar($),No,No,No,No,2,3.5,Yellow,Good,57,American, Burger, Sandwich,,,,,
17284179,Longhorn Steakhouse,216,Albany,-84.2229,31.6185,25,Dollar($),No,No,No,No,2,3.5,Yellow,Good,58,American, Steak,,,,,,
17284197,Mikata Japanese Steakhouse,216,Albany,-84.2164,31.6137,40,Dollar($),No,No,No,No,3,3.6,Yellow,Good,115,Japanese, Steak, Sushi,,,,,
17284241,Shogun Japanese Steak House,216,Albany,-84.2233,31.6118,40,Dollar($),No,No,No,No,3,3.5,Yellow,Good,51,Japanese, Steak, Sushi,,,,,
17284390,The Catch Seafood Room & Oyster Bar,216,Albany,-84.205025,31.605882,40,Dollar($),No,No,No,No,3,3.8,Yellow,Good,250,Seafood, Tapas, Bar Food,,,,,
17284279,Villa Gargano,216,Albany,-84.1757,31.5985,10,Dollar($),No,No,No,No,1,3.7,Yellow,Good,117,Italian, Pizza,,,,,,
17284364,3 Squares Diner,216,Albany,-83.8389,31.5308,10,Dollar($),No,No,No,No,1,3.4,Orange,Average,20,American, Breakfast, Diner,,,,,
16611114,Whitebull Hotel,14,Armidale,151.6688792,-30.5147169,20,Dollar($),No,No,No,No,2,3.5,Yellow,Good,25,Bar Food, Steak,,,,,,
17293281,Last Resort Grill,216,Athens,-83.378273,33.957999,40,Dollar($),No,No,No,No,3,4.5,Dark Green,Excellent,1821,American, Southern, Southwestern,,,,,
17293301,Mama's Boy Restaurant,216,Athens,-83.3654,33.9535,10,Dollar($),No,No,No,No,1,4.5,Dark Green,Excellent,849,Southern,,,,,,,
17293409,Sr. Sol 1,216,Athens,-83.4293,33.9652,10,Dollar($),No,No,No,No,1,4.6,Dark Green,Excellent,917,Mexican,,,,,,,
17293163,Choo Choo Eastside,216,Athens,-83.3389,33.9259,10,Dollar($),No,No,No,No,1,3.9,Yellow,Good,439,Japanese, Korean,,,,,,
17293228,The Grill,216,Athens,-83.375523,33.958198,10,Dollar($),No,No,No,No,1,3.7,Yellow,Good,289,Breakfast, Burger, Sandwich,,,,,
17293880,Big City Bread Cafe,216,Athens,-83.384004,33.959392,10,Dollar($),No,No,No,No,1,4.3,Green,Very Good,558,Breakfast, Sandwich,,,,,,
17293169,Clocked,216,Athens,-83.3797,33.9584,10,Dollar($),No,No,No,No,1,4.2,Green,Very Good,613,American, Burger, Sandwich,,,,,
17293186,DePalma's Italian Cafe - Downtown,216,Athens,-83.373596,33.958112,25,Dollar($),No,No,No,No,2,4,Green,Very Good,353,American, Italian, Pizza,,,,,
17293180,DePalma's Italian Cafe - East Side,216,Athens,-83.33995,33.924275,25,Dollar($),No,No,No,No,2,4.1,Green,Very Good,387,American, Italian, Pizza,,,,,
17293205,Five & Ten,216,Athens,-83.3872482,33.9415545,40,Dollar($),No,No,No,No,3,4.3,Green,Very Good,755,American,,,,,,,
17293229,Grit,216,Athens,-83.381625,33.960112,10,Dollar($),No,No,No,No,1,4.2,Green,Very Good,800,International, Southern, Vegetarian,,,,,
17293897,Ike & Jane,216,Athens,-83.400887,33.963296,10,Dollar($),No,No,No,No,1,4.1,Green,Very Good,350,Sandwich,,,,,,,
17293273,La Dolce Vita Ristorante,216,Athens,-83.4075,33.9584,40,Dollar($),No,No,No,No,3,4.1,Green,Very Good,464,Italian,,,,,,,
17293870,Shokitini,216,Athens,-83.379251,33.957503,25,Dollar($),No,No,No,No,2,4.2,Green,Very Good,550,Asian, Japanese, Sushi,,,,,
17293877,Taqueria Del Sol,216,Athens,-83.383605,33.960571,10,Dollar($),No,No,No,No,1,4.1,Green,Very Good,543,Mexican, Spanish,,,,,,
17293890,The National,216,Athens,-83.37967,33.959468,40,Dollar($),No,No,No,No,3,4.1,Green,Very Good,465,International, Southern,,,,,,
17293915,The Royal Peasant,216,Athens,-83.38728,33.937502,10,Dollar($),No,No,No,No,1,4.4,Green,Very Good,546,Bar Food,,,,,,,
17293422,Transmetropolitan,216,Athens,-83.3764,33.9584,10,Dollar($),No,No,No,No,1,4.4,Green,Very Good,1098,Italian, Pizza, Sandwich,,,,,
17293873,Trappeze Pub,216,Athens,-83.378881,33.958363,25,Dollar($),No,No,No,No,2,4.2,Green,Very Good,579,Burger, Bar Food,,,,,,
17294014,Viva! Argentine Cuisine,216,Athens,-83.3828224,33.9600227,10,Dollar($),No,No,No,No,1,4.1,Green,Very Good,374,Desserts, Latin American, Argentine,,,,,
17294556,Miyabi Kyoto Japanese Steak House,216,Augusta,-82.0865,33.4721,40,Dollar($),No,No,No,No,3,4.6,Dark Green,Excellent,717,Chinese, Steak,,,,,,
17294607,Rae's Coastal Cafe,216,Augusta,-82.0698,33.4791,40,Dollar($),No,No,No,No,3,4.9,Dark Green,Excellent,548,American, Caribbean, Seafood,,,,,
17294279,The Bee's Knees,216,Augusta,-81.97,33.4765,25,Dollar($),No,No,No,No,2,4.5,Dark Green,Excellent,631,International, Tapas, Vegetarian,,,,,
17294300,Boll Weevil Cafe,216,Augusta,-81.9684,33.474,10,Dollar($),No,No,No,No,1,3.9,Yellow,Good,372,Desserts, Sandwich, Southern,,,,,
17295215,Farmhaus Burger,216,Augusta,-81.973006,33.477444,25,Dollar($),No,No,No,No,2,3.9,Yellow,Good,201,American, Burger,,,,,,
17295028,Manuel's Bread Cafe,216,Augusta,-81.965571,33.481779,40,Dollar($),No,No,No,No,3,3.8,Yellow,Good,332,Breakfast, French,,,,,,
17294642,Sconyers Bar B Que,216,Augusta,-82.0327,33.4086,25,Dollar($),No,No,No,No,2,3.5,Yellow,Good,304,BBQ,,,,,,,
17295109,Frog Hollow Tavern,216,Augusta,-81.974944,33.478231,40,Dollar($),No,No,No,No,3,4.3,Green,Very Good,368,American,,,,,,,
17294441,Giuseppe's Pizza & Italian Specialities,216,Augusta,-82.096,33.4827,25,Dollar($),No,No,No,No,2,4.1,Green,Very Good,430,Desserts, Italian, Pizza,,,,,
17294552,Mellow Mushroom,216,Augusta,-81.9721,33.4778,25,Dollar($),No,No,No,No,2,4.4,Green,Very Good,433,Italian, Pizza, Sandwich,,,,,
17294565,Nacho Mamas Burritos,216,Augusta,-81.9694,33.4764,10,Dollar($),No,No,No,No,1,4,Green,Very Good,380,Mexican,,,,,,,
17294623,Rhinehart's Oyster Bar,216,Augusta,-82.0505,33.5133,25,Dollar($),No,No,No,No,2,4,Green,Very Good,456,Bar Food, Sandwich, Seafood,,,,,
17294712,Takosushi,216,Augusta,-82.0301,33.4848,40,Dollar($),No,No,No,No,3,4.2,Green,Very Good,647,Mexican, Southwestern, Sushi,,,,,
17295033,The Chop House,216,Augusta,-82.080788,33.467201,40,Dollar($),No,No,No,No,3,4,Green,Very Good,360,Steak,,,,,,,
17295069,The Taj of India,216,Augusta,-82.0805493,33.5375868,25,Dollar($),No,No,No,No,2,4,Green,Very Good,227,Indian,,,,,,,
17294261,Augsburg Haus,216,Augusta,-82.143793,33.544342,25,Dollar($),No,No,No,No,2,3.9,Yellow,Good,290,German,,,,,,,
17295115,Pho Bac,216,Augusta,-82.126161,33.532249,10,Dollar($),No,No,No,No,1,4.1,Green,Very Good,270,Vietnamese,,,,,,,
17294836,Rhinehart's Oyster Bar,216,Augusta,-82.141284,33.521291,25,Dollar($),No,No,No,No,2,4,Green,Very Good,326,Burger, Seafood,,,,,,
17294850,Thai Kitchen,216,Augusta,-82.1328,33.5406,35,Dollar($),No,No,No,No,3,4.3,Green,Very Good,317,Thai,,,,,,,
17294883,El Kiosco Mexican Restaurant,216,Augusta,-82.1997,33.4574,10,Dollar($),No,No,No,No,1,4.2,Green,Very Good,300,Mexican,,,,,,,
16608864,Taste of Balingup,14,Balingup,115.9844924,-33.7845269,20,Dollar($),No,No,No,No,2,3.2,Orange,Average,21,Modern Australian,,,,,,,
16604911,Bridge Road Brewers,14,Beechworth,146.685852,-36.360439,20,Dollar($),No,No,No,No,2,4.6,Dark Green,Excellent,237,Pizza, Bar Food,,,,,,
17303465,Bardenay,216,Boise,-116.2019,43.6138,25,Dollar($),No,No,No,No,2,4.5,Dark Green,Excellent,879,American, Bar Food,,,,,,
17303642,Flatbread Neapolitan Pizzeria,216,Boise,-116.203466,43.616068,25,Dollar($),No,No,No,No,2,4.6,Dark Green,Excellent,615,Italian, Pizza,,,,,,
17303670,Goldy's Breakfast Bistro,216,Boise,-116.2023,43.6149,25,Dollar($),No,No,No,No,2,4.5,Dark Green,Excellent,879,Breakfast, Sandwich,,,,,,
17303545,Chandlers Steakhouse,216,Boise,-116.2064,43.6157,70,Dollar($),No,No,No,No,4,3.9,Yellow,Good,379,American, Seafood, Steak,,,,,
17303655,Bar Gernika Basque Pub & Eatery,216,Boise,-116.2031,43.614,10,Dollar($),No,No,No,No,1,4.3,Green,Very Good,303,European, Spanish,,,,,,
17304691,Barbacoa Restaurant,216,Boise,-116.185034,43.597235,70,Dollar($),No,No,No,No,4,4.1,Green,Very Good,538,Latin American, Steak,,,,,,
17303478,Big Jud's,216,Boise,-116.2062,43.5945,10,Dollar($),No,No,No,No,1,4.2,Green,Very Good,334,American, Burger, Sandwich,,,,,
17303480,Bittercreek Ale House,216,Boise,-116.2022,43.6167,25,Dollar($),No,No,No,No,2,4.3,Green,Very Good,555,American, Bar Food,,,,,,
17304733,Boise Fry Company,216,Boise,-116.193409,43.610279,10,Dollar($),No,No,No,No,1,4.4,Green,Very Good,823,American, Burger,,,,,,
17303646,Flying Pie Pizzaria,216,Boise,-116.2625,43.6192,25,Dollar($),No,No,No,No,2,4.1,Green,Very Good,550,Pizza,,,,,,,
17304929,Fork,216,Boise,-116.202845,43.616295,25,Dollar($),No,No,No,No,2,4.4,Green,Very Good,650,American, Burger,,,,,,
17303684,Guido's Original New York Style Pizza,216,Boise,-116.199,43.615,10,Dollar($),No,No,No,No,1,4.3,Green,Very Good,410,Pizza,,,,,,,
17303772,Los Beto's,216,Boise,-116.2463,43.6191,10,Dollar($),No,No,No,No,1,4.4,Green,Very Good,660,Mexican,,,,,,,
17305123,Lucianos Italian Restaurant,216,Boise,-116.245165,43.6051379,25,Dollar($),No,No,No,No,2,4.4,Green,Very Good,360,Italian, Seafood, Vegetarian,,,,,
17303787,Mai Thai Restaurant,216,Boise,-116.2021,43.6162,40,Dollar($),No,No,No,No,3,4,Green,Very Good,340,Sushi, Thai,,,,,,
17303990,Shige Japanese Cuisine,216,Boise,-116.2031,43.6156,25,Dollar($),No,No,No,No,2,4.1,Green,Very Good,393,Japanese, Sushi, Teriyaki,,,,,
17304741,The Egg Factory,216,Boise,-116.281809,43.619274,10,Dollar($),No,No,No,No,1,4.3,Green,Very Good,422,Breakfast,,,,,,,
